Job Title,Annual Mean,PRSE
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","61,160",1.9
Home Appliance Repairers,"43,530",6
Industrial Machinery Mechanics,"60,000",1.3
"Maintenance Workers, Machinery","53,090",3.6
Millwrights,"72,400",4.7
Electrical Power-Line Installers and Repairers,"81,490",2
Telecommunications Line Installers and Repairers,"78,040",2.5
Camera and Photographic Equipment Repairers,"46,710",6.4
Medical Equipment Repairers,"62,390",4.5
Musical Instrument Repairers and Tuners,"43,830",5.9
Watch Repairers,"44,300",5.7
"Precision Instrument and Equipment Repairers, All Other","54,340",5.6
"Maintenance and Repair Workers, General","46,840",1.1
"Coin, Vending, and Amusement Machine Servicers and Repairers","44,930",4.1
Commercial Divers,"114,860",5.2
Locksmiths and Safe Repairers,"48,060",4.8
Riggers,"70,180",6.1
Signal and Track Switch Repairers,"71,210",6.1
"Helpers--Installation, Maintenance, and Repair Workers","34,990",3.6
"Installation, Maintenance, and Repair Workers, All Other","38,960",2.9
Production Occupations,"39,880",0.6
First-Line Supervisors of Production and Operating Workers,"71,530",0.9
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","43,320",6.6
"Coil Winders, Tapers, and Finishers","36,680",3.5
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","35,890",1.5
Engine and Other Machine Assemblers,"42,100",5.4
Structural Metal Fabricators and Fitters,"49,630",6.5
Fiberglass Laminators and Fabricators,"47,090",8.9
"Assemblers and Fabricators, All Other, Including Team Assemblers","31,180",1.6
Bakers,"31,070",2.2
Butchers and Meat Cutters,"38,760",3.1
"Meat, Poultry, and Fish Cutters and Trimmers","30,610",8.4
Slaughterers and Meat Packers,"27,320",7.1
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","33,210",5.1
Food Batchmakers,"27,860",2.3
Food Cooking Machine Operators and Tenders,"27,580",2.9
"Food Processing Workers, All Other","27,570",4.5
"Computer-Controlled Machine Tool Operators, Metal and Plastic","43,080",1.6
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","63,470",2.5
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","36,480",2
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","39,750",4.5
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","39,150",4.3
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","34,980",2.1
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","33,320",5
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","35,270",2
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","41,270",2.8
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","47,820",3.5
Machinists,"48,060",2.6
Metal-Refining Furnace Operators and Tenders,"45,890",5.2
"Pourers and Casters, Metal","42,320",5.7
"Model Makers, Metal and Plastic","60,660",10.1
Foundry Mold and Coremakers,"35,130",10
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","35,240",3.8
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","34,340",2.4
Tool and Die Makers,"57,570",2
"Welders, Cutters, Solderers, and Brazers","50,540",2.3
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","42,330",4.8
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","36,190",5.2
"Layout Workers, Metal and Plastic","47,470",8.9
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","35,310",4.1
"Tool Grinders, Filers, and Sharpeners","32,320",10.6
"Metal Workers and Plastic Workers, All Other","36,970",6.3
Prepress Technicians and Workers,"51,300",2.8
Printing Press Operators,"44,810",2.3
Print Binding and Finishing Workers,"36,680",4.3
Laundry and Dry-Cleaning Workers,"25,210",1.6
"Pressers, Textile, Garment, and Related Materials","24,110",2.4
Sewing Machine Operators,"26,980",3
Shoe and Leather Workers and Repairers,"26,280",6
"Sewers, Hand","25,870",4.7
"Tailors, Dressmakers, and Custom Sewers",*,*
Textile Bleaching and Dyeing Machine Operators and Tenders,"30,660",4.5
"Textile Cutting Machine Setters, Operators, and Tenders","34,230",2.8
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","27,810",10.5
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","31,990",4
Fabric and Apparel Patternmakers,"58,530",8.5
Upholsterers,"43,230",5.6
"Textile, Apparel, and Furnishings Workers, All Other","37,040",7.1
Cabinetmakers and Bench Carpenters,"43,990",2.3
Furniture Finishers,"39,470",3.3
"Sawing Machine Setters, Operators, and Tenders, Wood","40,100",8.7
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","40,050",4.8
"Woodworkers, All Other","41,310",12.4
Power Distributors and Dispatchers,"95,140",2.3
Power Plant Operators,"82,850",2.1
Stationary Engineers and Boiler Operators,"79,780",2.2
Water and Wastewater Treatment Plant and System Operators,"62,210",1.7
Chemical Plant and System Operators,"63,620",8.6
Gas Plant Operators,"76,730",3.6
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","73,950",10.2
"Plant and System Operators, All Other","65,880",3.7
Chemical Equipment Operators and Tenders,"44,410",2.4
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","46,670",5.5
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","35,760",4.9
"Grinding and Polishing Workers, Hand","40,190",5.6
"Mixing and Blending Machine Setters, Operators, and Tenders","42,370",2.9
"Cutters and Trimmers, Hand","34,520",12.4
"Cutting and Slicing Machine Setters, Operators, and Tenders","33,350",2.6
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","32,800",2.9
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","40,720",2.8
"Inspectors, Testers, Sorters, Samplers, and Weighers","42,660",1.6
Jewelers and Precious Stone and Metal Workers,"49,860",5.8
Dental Laboratory Technicians,"46,980",6.1
Medical Appliance Technicians,"45,210",7.3
Ophthalmic Laboratory Technicians,"38,700",3.3
Packaging and Filling Machine Operators and Tenders,"29,460",1.6
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","37,900",4.4
"Painters, Transportation Equipment","48,920",3
"Painting, Coating, and Decorating Workers","31,800",3.4
Photographic Process Workers and Processing Machine Operators,"41,770",6.4
Adhesive Bonding Machine Operators and Tenders,"35,010",5.5
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","33,060",3.5
Cooling and Freezing Equipment Operators and Tenders,"35,300",8.2
Etchers and Engravers,"35,670",10.6
"Molders, Shapers, and Casters, Except Metal and Plastic","40,980",2.5
"Paper Goods Machine Setters, Operators, and Tenders","31,500",2.4
Tire Builders,"27,020",3.7
Helpers--Production Workers,"28,600",1.7
"Production Workers, All Other","33,170",3.7
Transportation and Material Moving Occupations,"41,060",2.5
Aircraft Cargo Handling Supervisors,"49,880",4.7
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","61,880",1.2
"Airline Pilots, Copilots, and Flight Engineers","154,640",15.8
Commercial Pilots,"95,750",5.5
Air Traffic Controllers,"137,400",3
Airfield Operations Specialists,"61,500",3
Flight Attendants,"44,860",6.6
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","34,480",4.8
"Bus Drivers, Transit and Intercity","57,570",4.7
"Bus Drivers, School or Special Client","40,590",1.5
Driver/Sales Workers,"28,860",3.1
Heavy and Tractor-Trailer Truck Drivers,"50,910",1.3
Light Truck or Delivery Services Drivers,"38,570",1.9
Taxi Drivers and Chauffeurs,"34,090",2.6
"Motor Vehicle Operators, All Other","35,720",3.1
Railroad Conductors and Yardmasters,"56,180",3.4
Subway and Streetcar Operators,"72,140",5.2
Sailors and Marine Oilers,"47,170",5.2
"Captains, Mates, and Pilots of Water Vessels","89,440",5.1
Motorboat Operators,"48,350",3.8
Ship Engineers,"93,770",4.1
Bridge and Lock Tenders,"45,430",2
Parking Lot Attendants,"24,040",1
Automotive and Watercraft Service Attendants,"22,440",1.4
Traffic Technicians,"55,570",6.3
Transportation Inspectors,"69,670",4.1
"Transportation Attendants, Except Flight Attendants","28,920",5.5
"Transportation Workers, All Other","44,890",6.3
Conveyor Operators and Tenders,"38,040",8.3
Crane and Tower Operators,"103,730",6.9
Excavating and Loading Machine and Dragline Operators,"64,490",5.3
Industrial Truck and Tractor Operators,"39,050",1.6
Cleaners of Vehicles and Equipment,"31,400",11.5
"Laborers and Freight, Stock, and Material Movers, Hand","30,920",1
Machine Feeders and Offbearers,"29,720",2.9
"Packers and Packagers, Hand","24,990",1.1
Gas Compressor and Gas Pumping Station Operators,"55,350",11.6
"Pump Operators, Except Wellhead Pumpers","45,270",3.7
Refuse and Recyclable Material Collectors,"56,300",3.6
"Tank Car, Truck, and Ship Loaders","57,190",7.4
"Material Moving Workers, All Other","53,160",4.1
