Job Title,Level,Annual Mean,PRSE
"Educational, Guidance, School, and Vocational Counselors",detailed,72200,3.3
Marriage and Family Therapists,detailed,68910,2.4
Rehabilitation Counselors,detailed,41010,2.9
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,52960,1.7
"Counselors, All Other",detailed,59300,3.3
"Child, Family, and School Social Workers",detailed,60330,3
Healthcare Social Workers,detailed,64530,1.2
Mental Health and Substance Abuse Social Workers,detailed,64630,3.1
"Social Workers, All Other",detailed,68990,1.6
Health Educators,detailed,58380,3.9
Probation Officers and Correctional Treatment Specialists,detailed,74550,1.2
Social and Human Service Assistants,detailed,36600,1.1
Community Health Workers,detailed,47180,3.2
"Community and Social Service Specialists, All Other",detailed,54970,2.3
Clergy,detailed,56630,4.6
"Directors, Religious Activities and Education",detailed,45950,5.9
"Religious Workers, All Other",detailed,33500,9.9
Legal ,major,137610,2.3
Lawyers,detailed,170530,2.3
Judicial Law Clerks,detailed,67640,1.9
"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,98960,1.6
"Arbitrators, Mediators, and Conciliators",detailed,86980,6.2
"Judges, Magistrate Judges, and Magistrates",detailed,157770,1.4
Paralegals and Legal Assistants,detailed,61110,1.7
Court Reporters,detailed,83220,5.1
"Title Examiners, Abstractors, and Searchers",detailed,54370,4.3
"Legal Support Workers, All Other",detailed,64530,4.8
"Education, Training, and Library ",major,68140,1.6
"Business Teachers, Postsecondary",detailed,110210,4.7
"Computer Science Teachers, Postsecondary",detailed,105490,2.6
"Mathematical Science Teachers, Postsecondary",detailed,105300,3.6
"Architecture Teachers, Postsecondary",detailed,123760,10.9
"Engineering Teachers, Postsecondary",detailed,125470,3.9
"Agricultural Sciences Teachers, Postsecondary",detailed,84780,3.8
"Biological Science Teachers, Postsecondary",detailed,100650,3.6
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,107520,3
"Chemistry Teachers, Postsecondary",detailed,105650,2.5
"Environmental Science Teachers, Postsecondary",detailed,106470,4.3
"Physics Teachers, Postsecondary",detailed,115170,2.8
"Anthropology and Archeology Teachers, Postsecondary",detailed,119000,4.1
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,103110,7.4
"Economics Teachers, Postsecondary",detailed,126390,5.4
"Geography Teachers, Postsecondary",detailed,95700,10.6
"Political Science Teachers, Postsecondary",detailed,117170,9.1
"Psychology Teachers, Postsecondary",detailed,101870,4.2
"Sociology Teachers, Postsecondary",detailed,94070,4.2
"Social Sciences Teachers, Postsecondary, All Other",detailed,105690,3.2
"Health Specialties Teachers, Postsecondary",detailed,119350,3.1
"Nursing Instructors and Teachers, Postsecondary",detailed,102030,2
"Education Teachers, Postsecondary",detailed,90630,4.9
"Library Science Teachers, Postsecondary",detailed,81660,1.8
"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,68900,7.6
"Law Teachers, Postsecondary",detailed,136640,7.4
"Social Work Teachers, Postsecondary",detailed,91960,6.3
"Art, Drama, and Music Teachers, Postsecondary",detailed,96430,4.8
"Communications Teachers, Postsecondary",detailed,93740,4.9
"English Language and Literature Teachers, Postsecondary",detailed,93840,2.9
"Foreign Language and Literature Teachers, Postsecondary",detailed,91280,3.4
"History Teachers, Postsecondary",detailed,94050,3.1
"Philosophy and Religion Teachers, Postsecondary",detailed,83520,2.9
Graduate Teaching Assistants,detailed,40680,5.2
"Recreation and Fitness Studies Teachers, Postsecondary",detailed,89400,4.5
"Vocational Education Teachers, Postsecondary",detailed,65210,3.1
"Preschool Teachers, Except Special Education",detailed,45930,9.6
"Kindergarten Teachers, Except Special Education",detailed,77520,2
"Elementary School Teachers, Except Special Education",detailed,81760,1.9
"Middle School Teachers, Except Special and Career/Technical Education",detailed,81360,1.3
"Career/Technical Education Teachers, Middle School",detailed,85110,4.9
"Secondary School Teachers, Except Special and Career/Technical Education",detailed,87260,1.8
"Career/Technical Education Teachers, Secondary School",detailed,77120,4.9
"Special Education Teachers, Preschool",detailed,78860,8.2
"Special Education Teachers, Kindergarten and Elementary School",detailed,76820,1.7
"Special Education Teachers, Middle School",detailed,79370,1.5
"Special Education Teachers, Secondary School",detailed,88450,3.2
"Special Education Teachers, All Other",detailed,83790,7.5
Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,73430,4.3
Self-Enrichment Education Teachers,detailed,59770,2.9
"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,52330,4.7
Substitute Teachers,detailed,38030,8.7
Archivists,detailed,55520,3
Curators,detailed,79790,3.5
Museum Technicians and Conservators,detailed,61560,4
Librarians,detailed,70550,0.9
Library Technicians,detailed,35840,1.9
Audio-Visual and Multimedia Collections Specialists,detailed,66600,3.8
Farm and Home Management Advisors,detailed,58190,11.9
Instructional Coordinators,detailed,73490,3
Teacher Assistants,detailed,30350,1.4
"Education, Training, and Library Workers, All Other",detailed,53020,5.9
"Arts, Design, Entertainment, Sports, and Media ",major,79220,1.2
Art Directors,detailed,126760,1.3
Craft Artists,detailed,58810,7.1
"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,70320,6.4
Multimedia Artists and Animators,detailed,80550,4.7
"Artists and Related Workers, All Other",detailed,75370,8.8
Commercial and Industrial Designers,detailed,78440,6.4
Fashion Designers,detailed,88580,2.6
Floral Designers,detailed,33990,6.1
Graphic Designers,detailed,65970,1.6
Interior Designers,detailed,65180,3.7
Merchandise Displayers and Window Trimmers,detailed,34840,2.6
Set and Exhibit Designers,detailed,77690,3.5
"Designers, All Other",detailed,73110,5.6
Actors,detailed,0,*
Producers and Directors,detailed,119280,2.5
Athletes and Sports Competitors,detailed,95340,14.6
Coaches and Scouts,detailed,56870,4.3
"Umpires, Referees, and Other Sports Officials",detailed,0,*
Dancers,detailed,0,14.1
Choreographers,detailed,88570,11.6
Music Directors and Composers,detailed,91760,10.3
Musicians and Singers,detailed,0,7.5
"Entertainers and Performers, Sports and Related Workers, All Other",detailed,0,8.5
Radio and Television Announcers,detailed,87450,12.8
Public Address System and Other Announcers,detailed,50690,12.3
Broadcast News Analysts,detailed,85890,10.8
Reporters and Correspondents,detailed,75920,5.4
Public Relations Specialists,detailed,74640,1.8
Editors,detailed,83380,1.5
Technical Writers,detailed,82610,3.7
Writers and Authors,detailed,88230,2.5
Interpreters and Translators,detailed,73710,3.7
"Media and Communication Workers, All Other",detailed,57150,6
Audio and Video Equipment Technicians,detailed,55730,2
Broadcast Technicians,detailed,59560,4
Radio Operators,detailed,68210,2.8
Sound Engineering Technicians,detailed,77850,3.9
Photographers,detailed,50620,6.3
"Camera Operators, Television, Video, and Motion Picture",detailed,83800,4.1
Film and Video Editors,detailed,85080,3.1
"Media and Communication Equipment Workers, All Other",detailed,61580,6.9
Healthcare Practitioners and Technical ,major,96640,0.9
"Dentists, General",detailed,164610,5
Oral and Maxillofacial Surgeons,detailed,270190,9.7
Orthodontists,detailed,239770,11.8
"Dentists, All Other Specialists",detailed,195720,15.1
Dietitians and Nutritionists,detailed,68520,0.9
Optometrists,detailed,116260,2.9
Pharmacists,detailed,118120,1.6
Anesthesiologists,detailed,263530,8.7
Family and General Practitioners,detailed,201160,3.6
"Internists, General",detailed,196770,7.2
Obstetricians and Gynecologists,detailed,222050,3.5
"Pediatricians, General",detailed,176860,3
Psychiatrists,detailed,208970,4.6
Surgeons,detailed,260290,4
"Physicians and Surgeons, All Other",detailed,179130,3.2
Physician Assistants,detailed,115800,0.8
Podiatrists,detailed,158280,5.9
Occupational Therapists,detailed,95210,1.8
Physical Therapists,detailed,92440,1.2
Radiation Therapists,detailed,106220,1.6
Recreational Therapists,detailed,56000,1.3
Respiratory Therapists,detailed,77720,0.6
Speech-Language Pathologists,detailed,93130,2.5
Exercise Physiologists,detailed,65630,9.4
"Therapists, All Other",detailed,74490,7.6
Veterinarians,detailed,127200,4.1
Registered Nurses,detailed,89400,0.8
Nurse Anesthetists,detailed,185240,3.7
Nurse Midwives,detailed,108390,2
Nurse Practitioners,detailed,122850,2.5
Audiologists,detailed,89140,2.6
"Health Diagnosing and Treating Practitioners, All Other",detailed,83060,4
Clinical Laboratory Technologists and Technicians,detailed,65410,1.1
Dental Hygienists,detailed,86820,1.3
Cardiovascular Technologists and Technicians,detailed,65140,1.3
Diagnostic Medical Sonographers,detailed,75800,1.2
Nuclear Medicine Technologists,detailed,90690,1.6
Radiologic Technologists,detailed,71410,1.1
Magnetic Resonance Imaging Technologists,detailed,82870,1.1
Emergency Medical Technicians and Paramedics,detailed,43430,2.4
Dietetic Technicians,detailed,42060,1.2
Pharmacy Technicians,detailed,34450,2
Psychiatric Technicians,detailed,45150,1.7
Respiratory Therapy Technicians,detailed,63290,2.3
Surgical Technologists,detailed,56190,1
Veterinary Technologists and Technicians,detailed,42440,2.9
Ophthalmic Medical Technicians,detailed,40990,2.7
Licensed Practical and Licensed Vocational Nurses,detailed,54180,0.6
Medical Records and Health Information Technicians,detailed,51180,1.5
"Opticians, Dispensing",detailed,57060,3.5
Orthotists and Prosthetists,detailed,82800,10
Hearing Aid Specialists,detailed,65620,4.1
"Health Technologists and Technicians, All Other",detailed,52990,2.3
Occupational Health and Safety Specialists,detailed,80730,3.2
Occupational Health and Safety Technicians,detailed,63030,2.7
Athletic Trainers,detailed,54990,3.1
Genetic Counselors,detailed,82910,1.3
"Healthcare Practitioners and Technical Workers, All Other",detailed,82210,3
Healthcare Support ,major,30970,1.1
Home Health Aides,detailed,24280,0.9
Psychiatric Aides,detailed,40090,1.8
Nursing Assistants,detailed,35190,0.6
Orderlies,detailed,33120,1
Occupational Therapy Assistants,detailed,66210,1.8
Occupational Therapy Aides,detailed,35470,6
Physical Therapist Assistants,detailed,62190,1.5
Physical Therapist Aides,detailed,27630,1.7
Massage Therapists,detailed,56270,4.5
Dental Assistants,detailed,39160,3.1
Medical Assistants,detailed,36630,0.9
Medical Equipment Preparers,detailed,41770,1.8
Medical Transcriptionists,detailed,43810,2.8
Pharmacy Aides,detailed,30450,4.1
Veterinary Assistants and Laboratory Animal Caretakers,detailed,31280,2.9
Phlebotomists,detailed,40950,1.2
"Healthcare Support Workers, All Other",detailed,37470,1.7
Protective Service ,major,53210,3.2
First-Line Supervisors of Correctional Officers,detailed,96390,1.9
First-Line Supervisors of Police and Detectives,detailed,119580,2
First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,110780,1.6
"First-Line Supervisors of Protective Service Workers, All Other",detailed,64650,3.8
Firefighters,detailed,75700,2.4
Fire Inspectors and Investigators,detailed,55700,2.4
Forest Fire Inspectors and Prevention Specialists,detailed,0,*
Bailiffs,detailed,65360,2.7
Correctional Officers and Jailers,detailed,69180,1.8
Detectives and Criminal Investigators,detailed,95160,3.7
Fish and Game Wardens,detailed,62620,1.5
Parking Enforcement Workers,detailed,40900,2.5
Police and Sheriff's Patrol Officers,detailed,78360,2.8
Transit and Railroad Police,detailed,80710,3.7
Animal Control Workers,detailed,44630,4.7
Private Detectives and Investigators,detailed,63120,3
Gaming Surveillance Officers and Gaming Investigators,detailed,38510,10.9
Security Guards,detailed,33820,2.3
Crossing Guards,detailed,33910,1.7
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,26240,2
"Protective Service Workers, All Other",detailed,30960,2.7
Food Preparation and Serving Related ,major,29000,0.8
Chefs and Head Cooks,detailed,51090,6.6
First-Line Supervisors of Food Preparation and Serving Workers,detailed,43060,1.4
"Cooks, Fast Food",detailed,23230,2.3
"Cooks, Institution and Cafeteria",detailed,34930,1
"Cooks, Restaurant",detailed,29960,1.5
"Cooks, Short Order",detailed,24480,2.9
"Cooks, All Other",detailed,33230,5.5
Food Preparation Workers,detailed,25900,2.4
Bartenders,detailed,33290,2.3
"Combined Food Preparation and Serving Workers, Including Fast Food",detailed,23400,0.7
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,23090,1.5
Waiters and Waitresses,detailed,31190,2
"Food Servers, Nonrestaurant",detailed,30410,1.3
Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,27060,2.6
Dishwashers,detailed,25000,1.4
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,26260,1.6
"Food Preparation and Serving Related Workers, All Other",detailed,27730,2.8
Building and Grounds Cleaning and Maintenance ,major,35540,0.9
First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,54230,1.6
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,58350,2.4
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,34420,1.1
Maids and Housekeeping Cleaners,detailed,34410,2
"Building Cleaning Workers, All Other",detailed,39890,9.6
Pest Control Workers,detailed,39710,3.9
Landscaping and Groundskeeping Workers,detailed,33720,1.3
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,33870,5.1
Tree Trimmers and Pruners,detailed,54930,2.9
"Grounds Maintenance Workers, All Other",detailed,26930,5.1
Personal Care and Service ,major,32050,1.1
First-Line Supervisors of Gaming Workers,detailed,52970,6.9
First-Line Supervisors of Personal Service Workers,detailed,46620,1.7
Animal Trainers,detailed,38130,6.4
Nonfarm Animal Caretakers,detailed,28610,2
Gaming and Sports Book Writers and Runners,detailed,34310,16
Motion Picture Projectionists,detailed,34530,13.1
"Ushers, Lobby Attendants, and Ticket Takers",detailed,25690,2
Amusement and Recreation Attendants,detailed,24550,1.5
Costume Attendants,detailed,63630,9.4
"Locker Room, Coatroom, and Dressing Room Attendants",detailed,27290,2.3
"Entertainment Attendants and Related Workers, All Other",detailed,31510,7.2
Funeral Attendants,detailed,32430,5.2
"Morticians, Undertakers, and Funeral Directors",detailed,64650,6.2
Barbers,detailed,27900,6.9
"Hairdressers, Hairstylists, and Cosmetologists",detailed,35790,4.5
"Makeup Artists, Theatrical and Performance",detailed,75930,5.2
Manicurists and Pedicurists,detailed,23420,2.4
Shampooers,detailed,22160,2.7
Skincare Specialists,detailed,38050,5.7
Baggage Porters and Bellhops,detailed,31160,3.2
Concierges,detailed,42400,3
Tour and Travel Guides,detailed,36480,5.8
Childcare Workers,detailed,28250,3.2
Personal Care Aides,detailed,25890,0.8
Fitness Trainers and Aerobics Instructors,detailed,63520,2.6
Recreation Workers,detailed,32600,1.4
Residential Advisors,detailed,35930,2.5
"Personal Care and Service Workers, All Other",detailed,28610,4.4
Sales and Related ,major,53740,1.7
First-Line Supervisors of Retail Sales Workers,detailed,51480,1.3
First-Line Supervisors of Non-Retail Sales Workers,detailed,108790,2.1
Cashiers,detailed,23740,1.8
Gaming Change Persons and Booth Cashiers,detailed,37950,8.9
Counter and Rental Clerks,detailed,30910,2.6
Parts Salespersons,detailed,37640,2.4
Retail Salespersons,detailed,27980,1.1
Advertising Sales Agents,detailed,86190,2.2
Insurance Sales Agents,detailed,86840,3.4
"Securities, Commodities, and Financial Services Sales Agents",detailed,159720,2.9
Travel Agents,detailed,41700,4.8
"Sales Representatives, Services, All Other",detailed,79760,1.4
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,103870,3.5
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,75280,1.4
Demonstrators and Product Promoters,detailed,34690,5.9
Models,detailed,32090,10.3
Real Estate Brokers,detailed,99300,10.9
Real Estate Sales Agents,detailed,93570,5.2
Sales Engineers,detailed,111330,2.6
Telemarketers,detailed,28470,3.1
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,30520,11.9
"Sales and Related Workers, All Other",detailed,49460,2.7
Office and Administrative Support ,major,43870,0.4
First-Line Supervisors of Office and Administrative Support Workers,detailed,70290,0.7
"Switchboard Operators, Including Answering Service",detailed,38080,2
Telephone Operators,detailed,47730,4.7
"Communications Equipment Operators, All Other",detailed,52850,2.6
Bill and Account Collectors,detailed,47240,1.8
Billing and Posting Clerks,detailed,44110,0.9
"Bookkeeping, Accounting, and Auditing Clerks",detailed,46900,0.6
Gaming Cage Workers,detailed,32760,11.8
Payroll and Timekeeping Clerks,detailed,48900,1.2
Procurement Clerks,detailed,45690,1.4
Tellers,detailed,31140,0.9
"Financial Clerks, All Other",detailed,48870,3.4
Brokerage Clerks,detailed,62700,1.5
Correspondence Clerks,detailed,44870,2.1
"Court, Municipal, and License Clerks",detailed,59960,1
"Credit Authorizers, Checkers, and Clerks",detailed,46060,1.4
Customer Service Representatives,detailed,41750,0.7
"Eligibility Interviewers, Government Programs",detailed,0,*
File Clerks,detailed,33060,1.2
"Hotel, Motel, and Resort Desk Clerks",detailed,34180,3.2
"Interviewers, Except Eligibility and Loan",detailed,39550,1.4
"Library Assistants, Clerical",detailed,32300,2.1
Loan Interviewers and Clerks,detailed,43910,1.8
New Accounts Clerks,detailed,46030,6.1
Order Clerks,detailed,34910,2.6
"Human Resources Assistants, Except Payroll and Timekeeping",detailed,45080,1.3
Receptionists and Information Clerks,detailed,33760,0.7
Reservation and Transportation Ticket Agents and Travel Clerks,detailed,40630,3.4
"Information and Record Clerks, All Other",detailed,46020,2
Cargo and Freight Agents,detailed,46810,2.6
Couriers and Messengers,detailed,33740,4.5
"Police, Fire, and Ambulance Dispatchers",detailed,47480,1.5
"Dispatchers, Except Police, Fire, and Ambulance",detailed,48880,5.5
"Meter Readers, Utilities",detailed,0,*
Postal Service Clerks,detailed,52220,0.9
Postal Service Mail Carriers,detailed,50700,0.9
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,50560,1.5
"Production, Planning, and Expediting Clerks",detailed,52440,0.8
"Shipping, Receiving, and Traffic Clerks",detailed,36090,1.1
Stock Clerks and Order Fillers,detailed,28020,0.7
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,35740,2.3
Executive Secretaries and Executive Administrative Assistants,detailed,71840,0.7
Legal Secretaries,detailed,57170,2.4
Medical Secretaries,detailed,43050,1.6
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,41480,0.7
Computer Operators,detailed,45130,2.8
Data Entry Keyers,detailed,37960,1.2
Word Processors and Typists,detailed,45730,1.8
Desktop Publishers,detailed,56010,4.5
Insurance Claims and Policy Processing Clerks,detailed,49290,1.5
"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,34540,2.2
"Office Clerks, General",detailed,34690,0.6
"Office Machine Operators, Except Computer",detailed,34780,2.2
Proofreaders and Copy Markers,detailed,44830,3.1
Statistical Assistants,detailed,55410,3
"Office and Administrative Support Workers, All Other",detailed,38780,3.7
"Farming, Fishing, and Forestry ",major,35600,2
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,54730,3.8
Agricultural Inspectors,detailed,60670,1.8
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,32540,3.8
"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,29350,5.8
"Agricultural Workers, All Other",detailed,24910,20.5
Forest and Conservation Workers,detailed,35710,3.9
Construction and Extraction ,major,67880,0.9
First-Line Supervisors of Construction Trades and Extraction Workers,detailed,89670,1.1
Boilermakers,detailed,64780,8.7
Brickmasons and Blockmasons,detailed,76130,3.9
Stonemasons,detailed,49200,12.3
Carpenters,detailed,67690,1.5
Carpet Installers,detailed,46050,13.1
"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,56310,11.3
Floor Sanders and Finishers,detailed,34110,23.1
Tile and Marble Setters,detailed,76830,7.4
Cement Masons and Concrete Finishers,detailed,74960,2.4
Construction Laborers,detailed,52910,1.5
"Paving, Surfacing, and Tamping Equipment Operators",detailed,66060,12.7
Pile-Driver Operators,detailed,0,*
Operating Engineers and Other Construction Equipment Operators,detailed,85000,1.9
Drywall and Ceiling Tile Installers,detailed,61350,7.6
Tapers,detailed,63840,5.7
Electricians,detailed,79600,2.8
Glaziers,detailed,62050,4.5
"Insulation Workers, Floor, Ceiling, and Wall",detailed,44600,8.9
"Insulation Workers, Mechanical",detailed,103170,4.7
"Painters, Construction and Maintenance",detailed,52490,4.5
Paperhangers,detailed,54040,16
Pipelayers,detailed,60120,6.9
"Plumbers, Pipefitters, and Steamfitters",detailed,80240,2.5
Plasterers and Stucco Masons,detailed,68950,10.5
Reinforcing Iron and Rebar Workers,detailed,91110,4.2
Roofers,detailed,68410,6.6
Sheet Metal Workers,detailed,70080,7.1
Structural Iron and Steel Workers,detailed,89910,3.2
Solar Photovoltaic Installers,detailed,43730,2.9
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,43870,7.7
Helpers--Carpenters,detailed,30710,5.5
Helpers--Electricians,detailed,37240,3.9
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed,33090,12.5
