,Borough,Neighborhood,Type of home,Number of sales,Lowest sale price,Average sale price,Median sale price,Highest sale price
1,Brooklyn,BATH BEACH               ,02 TWO FAMILY HOMES     ,58,340000,947047,917500,1900000
2,Brooklyn,BATH BEACH               ,03 THREE FAMILY HOMES   ,30,400000,1295518,1242500,2050000
3,Brooklyn,BAY RIDGE                ,01 ONE FAMILY HOMES     ,115,234000,1059167,950000,2930000
4,Brooklyn,BAY RIDGE                ,02 TWO FAMILY HOMES     ,125,250000,1098791,1099000,2150000
5,Brooklyn,BAY RIDGE                ,03 THREE FAMILY HOMES   ,9,988000,1325056,1300000,2000000
6,Brooklyn,BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES     ,44,270000,882653,780000,1850000
7,Brooklyn,BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES     ,273,235513,1154184,1070000,2750000
8,Brooklyn,BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES   ,146,200000,1272540,1262500,2800000
9,Brooklyn,BENSONHURST              ,01 ONE FAMILY HOMES     ,50,242500,826114,847500,1350000
10,Brooklyn,BENSONHURST              ,02 TWO FAMILY HOMES     ,151,200000,1060748,990000,3955000
11,Brooklyn,BENSONHURST              ,03 THREE FAMILY HOMES   ,40,250000,1174300,1184000,1800000
12,Brooklyn,BERGEN BEACH             ,01 ONE FAMILY HOMES     ,40,330000,639750,636750,1175000
13,Brooklyn,BERGEN BEACH             ,02 TWO FAMILY HOMES     ,14,250000,665286,722500,850000
14,Brooklyn,BERGEN BEACH             ,03 THREE FAMILY HOMES   ,15,640000,724720,720000,875000
15,Brooklyn,BOERUM HILL              ,01 ONE FAMILY HOMES     ,9,997885,3178098,3350000,5000000
16,Brooklyn,BOERUM HILL              ,02 TWO FAMILY HOMES     ,20,1700000,3431300,2725000,13600000
17,Brooklyn,BOERUM HILL              ,03 THREE FAMILY HOMES   ,4,1249951,2597488,2920000,3300000
18,Brooklyn,BOROUGH PARK             ,01 ONE FAMILY HOMES     ,60,350000,1021691,937500,3000000
19,Brooklyn,BOROUGH PARK             ,02 TWO FAMILY HOMES     ,186,285700,1193939,1100000,5000000
20,Brooklyn,BOROUGH PARK             ,03 THREE FAMILY HOMES   ,70,395000,1384872,1382500,2705000
21,Brooklyn,BRIGHTON BEACH           ,01 ONE FAMILY HOMES     ,12,271799,534650,450000,1600000
22,Brooklyn,BRIGHTON BEACH           ,02 TWO FAMILY HOMES     ,18,350000,656323,673750,865000
23,Brooklyn,BRIGHTON BEACH           ,03 THREE FAMILY HOMES   ,9,350000,646156,680000,855000
24,Brooklyn,BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES     ,4,2350000,4712500,4250000,8000000
25,Brooklyn,BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES     ,6,3900000,6391667,6875000,9400000
26,Brooklyn,BROOKLYN HEIGHTS         ,03 THREE FAMILY HOMES   ,1,3200000,3200000,3200000,3200000
27,Brooklyn,BROWNSVILLE              ,01 ONE FAMILY HOMES     ,33,224705,340721,350000,588000
28,Brooklyn,BROWNSVILLE              ,02 TWO FAMILY HOMES     ,46,230000,551159,557900,1175000
29,Brooklyn,BROWNSVILLE              ,03 THREE FAMILY HOMES   ,10,228500,522185,560000,775000
30,Brooklyn,BUSH TERMINAL            ,01 ONE FAMILY HOMES     ,1,925000,925000,925000,925000
31,Brooklyn,BUSH TERMINAL            ,02 TWO FAMILY HOMES     ,15,450000,863867,880000,1175000
32,Brooklyn,BUSH TERMINAL            ,03 THREE FAMILY HOMES   ,5,409000,906200,900000,1745000
33,Brooklyn,BUSHWICK                 ,01 ONE FAMILY HOMES     ,20,340000,1004700,985000,2000000
34,Brooklyn,BUSHWICK                 ,02 TWO FAMILY HOMES     ,193,200000,929514,900000,2450000
35,Brooklyn,BUSHWICK                 ,03 THREE FAMILY HOMES   ,68,205000,972828,990000,1730000
36,Brooklyn,CANARSIE                 ,01 ONE FAMILY HOMES     ,86,200000,418834,426000,685000
37,Brooklyn,CANARSIE                 ,02 TWO FAMILY HOMES     ,218,200000,533015,515000,8150000
38,Brooklyn,CANARSIE                 ,03 THREE FAMILY HOMES   ,25,207215,556411,598000,699000
39,Brooklyn,CARROLL GARDENS          ,01 ONE FAMILY HOMES     ,4,2099000,2874750,2600000,4200000
40,Brooklyn,CARROLL GARDENS          ,02 TWO FAMILY HOMES     ,17,850000,2636618,2500000,4775000
41,Brooklyn,CARROLL GARDENS          ,03 THREE FAMILY HOMES   ,17,550000,2220993,2375000,3930000
42,Brooklyn,CLINTON HILL             ,01 ONE FAMILY HOMES     ,6,525000,2652918,3091253,3850000
43,Brooklyn,CLINTON HILL             ,02 TWO FAMILY HOMES     ,24,572000,2073052,1920000,5398255
44,Brooklyn,CLINTON HILL             ,03 THREE FAMILY HOMES   ,15,245000,2093867,2075000,3650000
45,Brooklyn,COBBLE HILL              ,01 ONE FAMILY HOMES     ,6,1525000,3720833,3225000,6400000
46,Brooklyn,COBBLE HILL              ,02 TWO FAMILY HOMES     ,2,2945000,3597500,3597500,4250000
47,Brooklyn,COBBLE HILL              ,03 THREE FAMILY HOMES   ,5,2250000,3375000,3475000,4200000
48,Brooklyn,COBBLE HILL-WEST         ,01 ONE FAMILY HOMES     ,1,2490000,2490000,2490000,2490000
49,Brooklyn,COBBLE HILL-WEST         ,02 TWO FAMILY HOMES     ,1,1450000,1450000,1450000,1450000
50,Brooklyn,COBBLE HILL-WEST         ,03 THREE FAMILY HOMES   ,3,1050000,1700000,1550000,2500000
51,Brooklyn,CONEY ISLAND             ,01 ONE FAMILY HOMES     ,31,240000,478139,490000,570000
52,Brooklyn,CONEY ISLAND             ,02 TWO FAMILY HOMES     ,6,350000,619167,507500,1200000
53,Brooklyn,CONEY ISLAND             ,03 THREE FAMILY HOMES   ,2,255000,290000,290000,325000
54,Brooklyn,CROWN HEIGHTS            ,01 ONE FAMILY HOMES     ,45,254205,1116112,1100000,2600000
55,Brooklyn,CROWN HEIGHTS            ,02 TWO FAMILY HOMES     ,144,223750,1136560,995000,7463514
56,Brooklyn,CROWN HEIGHTS            ,03 THREE FAMILY HOMES   ,53,350000,1094083,1050000,2000000
57,Brooklyn,CYPRESS HILLS            ,01 ONE FAMILY HOMES     ,37,230000,452057,450000,1126955
58,Brooklyn,CYPRESS HILLS            ,02 TWO FAMILY HOMES     ,112,212000,516751,555000,915000
59,Brooklyn,CYPRESS HILLS            ,03 THREE FAMILY HOMES   ,42,245000,548679,549000,900000
60,Brooklyn,DOWNTOWN-FULTON FERRY    ,02 TWO FAMILY HOMES     ,1,2795000,2795000,2795000,2795000
61,Brooklyn,DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES     ,2,4022087,4078544,4078544,4135000
62,Brooklyn,DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES     ,2,2000000,3100000,3100000,4200000
63,Brooklyn,DOWNTOWN-METROTECH       ,03 THREE FAMILY HOMES   ,1,2100000,2100000,2100000,2100000
64,Brooklyn,DYKER HEIGHTS            ,01 ONE FAMILY HOMES     ,62,425000,878600,840000,2000000
65,Brooklyn,DYKER HEIGHTS            ,02 TWO FAMILY HOMES     ,64,300000,1072440,1111500,1439000
66,Brooklyn,DYKER HEIGHTS            ,03 THREE FAMILY HOMES   ,20,800000,1233544,1200000,1760000
67,Brooklyn,EAST NEW YORK            ,01 ONE FAMILY HOMES     ,87,205000,394742,375000,1525000
68,Brooklyn,EAST NEW YORK            ,02 TWO FAMILY HOMES     ,267,200000,496045,499500,866710
69,Brooklyn,EAST NEW YORK            ,03 THREE FAMILY HOMES   ,96,250000,520979,522460,789000
70,Brooklyn,FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES     ,61,230000,1252269,1075000,4000000
71,Brooklyn,FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES     ,71,220000,922442,799000,2637500
72,Brooklyn,FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES   ,25,260000,864098,880000,1710000
73,Brooklyn,FLATBUSH-EAST            ,01 ONE FAMILY HOMES     ,170,215000,496390,472500,1675000
74,Brooklyn,FLATBUSH-EAST            ,02 TWO FAMILY HOMES     ,154,200000,564794,549500,1600000
75,Brooklyn,FLATBUSH-EAST            ,03 THREE FAMILY HOMES   ,45,250000,558149,550000,999000
76,Brooklyn,FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES     ,23,700000,1585500,1550000,2400000
77,Brooklyn,FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES     ,38,350000,1177292,1210000,1770000
78,Brooklyn,FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES   ,9,900000,1562778,1550000,2645000
79,Brooklyn,FLATBUSH-NORTH           ,01 ONE FAMILY HOMES     ,43,201303,507522,463224,1600000
80,Brooklyn,FLATBUSH-NORTH           ,02 TWO FAMILY HOMES     ,55,200000,629169,550000,1940000
81,Brooklyn,FLATBUSH-NORTH           ,03 THREE FAMILY HOMES   ,16,374000,683252,546000,1494537
82,Brooklyn,FLATLANDS                ,01 ONE FAMILY HOMES     ,49,260000,466287,450000,805000
83,Brooklyn,FLATLANDS                ,02 TWO FAMILY HOMES     ,55,227500,502893,510056,722000
84,Brooklyn,FLATLANDS                ,03 THREE FAMILY HOMES   ,3,300000,549667,620000,729000
